:Data_list: 20141019_Gp_xr_5m.txt
:Created: 2014 Oct 20 0015 UTC
# Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
# Please send comments and suggestions to SWPC.Webmaster@noaa.gov 
# 
# Label: Short = 0.05- 0.4 nanometer
# Label: Long  = 0.1 - 0.8 nanometer
# Units: Short = Watts per meter squared
# Units: Long  = Watts per meter squared
# Source: GOES-15
# Location: W135
# Missing data: -1.00e+05
#
#                         GOES-15 Solar X-ray Flux
# 
#                 Modified Seconds
# UTC Date  Time   Julian  of the
# YR MO DA  HHMM    Day     Day       Short       Long        Ratio
#-------------------------------------------------------------------
2014 10 19  0000   56949      0     8.91e-08    2.45e-06    3.64e-02
2014 10 19  0005   56949    300     8.48e-08    2.36e-06    3.59e-02
2014 10 19  0010   56949    600     8.05e-08    2.27e-06    3.54e-02
2014 10 19  0015   56949    900     7.35e-08    2.20e-06    3.35e-02
2014 10 19  0020   56949   1200     6.39e-08    2.13e-06    3.00e-02
2014 10 19  0025   56949   1500     5.72e-08    2.10e-06    2.72e-02
2014 10 19  0030   56949   1800     6.01e-08    2.15e-06    2.80e-02
2014 10 19  0035   56949   2100     5.37e-08    2.14e-06    2.51e-02
2014 10 19  0040   56949   2400     5.02e-08    2.08e-06    2.41e-02
2014 10 19  0045   56949   2700     4.55e-08    2.01e-06    2.27e-02
2014 10 19  0050   56949   3000     4.17e-08    1.91e-06    2.18e-02
2014 10 19  0055   56949   3300     3.95e-08    1.86e-06    2.12e-02
2014 10 19  0100   56949   3600     4.01e-08    1.85e-06    2.17e-02
2014 10 19  0105   56949   3900     3.75e-08    1.83e-06    2.05e-02
2014 10 19  0110   56949   4200     3.65e-08    1.80e-06    2.03e-02
2014 10 19  0115   56949   4500     7.65e-08    1.96e-06    3.71e-02
2014 10 19  0120   56949   4800     2.73e-07    2.98e-06    9.09e-02
2014 10 19  0125   56949   5100     3.22e-07    3.62e-06    8.90e-02
2014 10 19  0130   56949   5400     3.32e-07    4.00e-06    8.30e-02
2014 10 19  0135   56949   5700     4.69e-07    4.63e-06    1.01e-01
2014 10 19  0140   56949   6000     6.45e-07    5.45e-06    1.18e-01
2014 10 19  0145   56949   6300     5.93e-07    5.68e-06    1.04e-01
2014 10 19  0150   56949   6600     4.72e-07    5.40e-06    8.72e-02
2014 10 19  0155   56949   6900     4.11e-07    5.09e-06    8.07e-02
2014 10 19  0200   56949   7200     4.20e-07    5.07e-06    8.29e-02
2014 10 19  0205   56949   7500     3.75e-07    4.94e-06    7.58e-02
2014 10 19  0210   56949   7800     3.43e-07    4.80e-06    7.16e-02
2014 10 19  0215   56949   8100     3.07e-07    4.64e-06    6.61e-02
2014 10 19  0220   56949   8400     2.63e-07    4.34e-06    6.06e-02
2014 10 19  0225   56949   8700     2.18e-07    4.09e-06    5.33e-02
2014 10 19  0230   56949   9000     1.88e-07    3.92e-06    4.80e-02
2014 10 19  0235   56949   9300     1.62e-07    3.76e-06    4.31e-02
2014 10 19  0240   56949   9600     1.51e-07    3.64e-06    4.15e-02
2014 10 19  0245   56949   9900     1.60e-07    3.67e-06    4.36e-02
2014 10 19  0250   56949  10200     1.57e-07    3.65e-06    4.30e-02
2014 10 19  0255   56949  10500     1.76e-07    3.74e-06    4.70e-02
2014 10 19  0300   56949  10800     1.68e-07    3.67e-06    4.57e-02
2014 10 19  0305   56949  11100     1.58e-07    3.46e-06    4.57e-02
2014 10 19  0310   56949  11400     1.42e-07    3.32e-06    4.27e-02
2014 10 19  0315   56949  11700     1.30e-07    3.20e-06    4.08e-02
2014 10 19  0320   56949  12000     1.12e-07    3.01e-06    3.73e-02
2014 10 19  0325   56949  12300     1.02e-07    2.90e-06    3.53e-02
2014 10 19  0330   56949  12600     9.07e-08    2.74e-06    3.31e-02
2014 10 19  0335   56949  12900     8.55e-08    2.63e-06    3.25e-02
2014 10 19  0340   56949  13200     9.99e-08    2.66e-06    3.74e-02
2014 10 19  0345   56949  13500     1.10e-07    2.79e-06    3.93e-02
2014 10 19  0350   56949  13800     1.05e-07    2.77e-06    3.78e-02
2014 10 19  0355   56949  14100     1.26e-07    2.85e-06    4.43e-02
2014 10 19  0400   56949  14400     1.87e-07    3.14e-06    5.91e-02
2014 10 19  0405   56949  14700     3.70e-07    3.95e-06    9.27e-02
2014 10 19  0410   56949  15000     5.91e-07    4.87e-06    1.21e-01
2014 10 19  0415   56949  15300     8.50e-07    6.18e-06    1.37e-01
2014 10 19  0420   56949  15600     3.03e-06    1.29e-05    2.25e-01
2014 10 19  0425   56949  15900     7.49e-06    2.55e-05    2.94e-01
2014 10 19  0430   56949  16200     9.52e-06    3.58e-05    2.66e-01
2014 10 19  0435   56949  16500     1.14e-05    4.44e-05    2.57e-01
2014 10 19  0440   56949  16800     1.54e-05    5.67e-05    2.71e-01
2014 10 19  0445   56949  17100     1.94e-05    7.24e-05    2.67e-01
2014 10 19  0450   56949  17400     2.51e-05    9.27e-05    2.71e-01
2014 10 19  0455   56949  17700     2.70e-05    1.07e-04    2.54e-01
2014 10 19  0500   56949  18000     2.48e-05    1.10e-04    2.25e-01
2014 10 19  0505   56949  18300     2.21e-05    1.09e-04    2.02e-01
2014 10 19  0510   56949  18600     1.93e-05    1.06e-04    1.82e-01
2014 10 19  0515   56949  18900     1.63e-05    1.00e-04    1.62e-01
2014 10 19  0520   56949  19200     1.35e-05    9.32e-05    1.45e-01
2014 10 19  0525   56949  19500     1.12e-05    8.56e-05    1.31e-01
2014 10 19  0530   56949  19800     9.15e-06    7.78e-05    1.18e-01
2014 10 19  0535   56949  20100     7.59e-06    7.06e-05    1.07e-01
2014 10 19  0540   56949  20400     6.40e-06    6.42e-05    9.97e-02
2014 10 19  0545   56949  20700     5.49e-06    5.84e-05    9.39e-02
2014 10 19  0550   56949  21000     4.77e-06    5.31e-05    8.96e-02
2014 10 19  0555   56949  21300     4.12e-06    4.82e-05    8.55e-02
2014 10 19  0600   56949  21600     3.45e-06    4.32e-05    7.97e-02
2014 10 19  0605   56949  21900     2.82e-06    3.82e-05    7.39e-02
2014 10 19  0610   56949  22200     2.34e-06    3.37e-05    6.95e-02
2014 10 19  0615   56949  22500     1.99e-06    2.99e-05    6.66e-02
2014 10 19  0620   56949  22800     1.74e-06    2.67e-05    6.50e-02
2014 10 19  0625   56949  23100     1.52e-06    2.39e-05    6.36e-02
2014 10 19  0630   56949  23400     1.31e-06    2.13e-05    6.13e-02
2014 10 19  0635   56949  23700     1.14e-06    1.90e-05    6.02e-02
2014 10 19  0640   56949  24000     1.00e-06    1.71e-05    5.85e-02
2014 10 19  0645   56949  24300     8.80e-07    1.55e-05    5.67e-02
2014 10 19  0650   56949  24600     7.92e-07    1.42e-05    5.57e-02
2014 10 19  0655   56949  24900     8.00e-07    1.35e-05    5.91e-02
2014 10 19  0700   56949  25200     6.91e-07    1.25e-05    5.49e-02
2014 10 19  0705   56949  25500     5.52e-07    1.11e-05    4.97e-02
2014 10 19  0710   56949  25800     4.66e-07    9.93e-06    4.70e-02
2014 10 19  0715   56949  26100     4.14e-07    9.17e-06    4.51e-02
2014 10 19  0720   56949  26400     3.82e-07    8.60e-06    4.44e-02
2014 10 19  0725   56949  26700     3.30e-07    7.92e-06    4.16e-02
2014 10 19  0730   56949  27000     2.97e-07    7.42e-06    4.00e-02
2014 10 19  0735   56949  27300     2.86e-07    7.20e-06    3.96e-02
2014 10 19  0740   56949  27600     2.23e-07    6.42e-06    3.47e-02
2014 10 19  0745   56949  27900     1.89e-07    5.82e-06    3.25e-02
2014 10 19  0750   56949  28200     1.65e-07    5.33e-06    3.10e-02
2014 10 19  0755   56949  28500     1.46e-07    4.94e-06    2.95e-02
2014 10 19  0800   56949  28800     1.33e-07    4.66e-06    2.85e-02
2014 10 19  0805   56949  29100     1.18e-07    4.35e-06    2.71e-02
2014 10 19  0810   56949  29400     9.80e-08    4.00e-06    2.45e-02
2014 10 19  0815   56949  29700     8.49e-08    3.72e-06    2.28e-02
2014 10 19  0820   56949  30000     7.49e-08    3.48e-06    2.15e-02
2014 10 19  0825   56949  30300     6.50e-08    3.25e-06    2.00e-02
2014 10 19  0830   56949  30600     6.05e-08    3.06e-06    1.97e-02
2014 10 19  0835   56949  30900     6.55e-08    2.98e-06    2.20e-02
2014 10 19  0840   56949  31200     6.11e-08    2.83e-06    2.16e-02
2014 10 19  0845   56949  31500     5.04e-08    2.64e-06    1.91e-02
2014 10 19  0850   56949  31800     4.61e-08    2.50e-06    1.85e-02
2014 10 19  0855   56949  32100     4.18e-08    2.40e-06    1.74e-02
2014 10 19  0900   56949  32400     4.30e-08    2.35e-06    1.83e-02
2014 10 19  0905   56949  32700     3.83e-08    2.25e-06    1.70e-02
2014 10 19  0910   56949  33000     3.86e-08    2.19e-06    1.76e-02
2014 10 19  0915   56949  33300     6.28e-08    2.31e-06    2.71e-02
2014 10 19  0920   56949  33600     7.09e-08    2.35e-06    3.02e-02
2014 10 19  0925   56949  33900     6.07e-08    2.25e-06    2.69e-02
2014 10 19  0930   56949  34200     5.36e-08    2.16e-06    2.47e-02
2014 10 19  0935   56949  34500     5.40e-08    2.14e-06    2.53e-02
2014 10 19  0940   56949  34800     6.51e-08    2.17e-06    3.00e-02
2014 10 19  0945   56949  35100     6.25e-08    2.15e-06    2.91e-02
2014 10 19  0950   56949  35400     6.87e-08    2.15e-06    3.19e-02
2014 10 19  0955   56949  35700     4.93e-08    2.02e-06    2.44e-02
2014 10 19  1000   56949  36000     3.78e-08    1.86e-06    2.03e-02
2014 10 19  1005   56949  36300     3.21e-08    1.73e-06    1.85e-02
2014 10 19  1010   56949  36600     2.86e-08    1.66e-06    1.72e-02
2014 10 19  1015   56949  36900     2.75e-08    1.63e-06    1.69e-02
2014 10 19  1020   56949  37200     2.57e-08    1.62e-06    1.58e-02
2014 10 19  1025   56949  37500     2.29e-08    1.59e-06    1.44e-02
2014 10 19  1030   56949  37800     1.81e-08    1.49e-06    1.21e-02
2014 10 19  1035   56949  38100     1.75e-08    1.43e-06    1.23e-02
2014 10 19  1040   56949  38400     1.56e-08    1.39e-06    1.12e-02
2014 10 19  1045   56949  38700     1.51e-08    1.37e-06    1.10e-02
2014 10 19  1050   56949  39000     3.52e-08    1.57e-06    2.20e-02
2014 10 19  1055   56949  39300     5.57e-08    1.75e-06    3.19e-02
2014 10 19  1100   56949  39600     2.80e-08    1.57e-06    1.75e-02
2014 10 19  1105   56949  39900     9.48e-08    1.71e-06    5.04e-02
2014 10 19  1110   56949  40200     1.15e-07    2.03e-06    5.64e-02
2014 10 19  1115   56949  40500     4.58e-07    3.33e-06    1.31e-01
2014 10 19  1120   56949  40800     3.48e-07    3.60e-06    9.50e-02
2014 10 19  1125   56949  41100     1.22e-07    2.34e-06    5.05e-02
2014 10 19  1130   56949  41400     4.54e-08    1.66e-06    2.73e-02
2014 10 19  1135   56949  41700     4.10e-08    1.53e-06    2.67e-02
2014 10 19  1140   56949  42000     2.24e-08    1.32e-06    1.70e-02
2014 10 19  1145   56949  42300     1.38e-08    1.19e-06    1.16e-02
2014 10 19  1150   56949  42600     1.59e-08    1.17e-06    1.36e-02
2014 10 19  1155   56949  42900     1.30e-08    1.13e-06    1.15e-02
2014 10 19  1200   56949  43200     1.35e-08    1.12e-06    1.20e-02
2014 10 19  1205   56949  43500     1.72e-08    1.14e-06    1.49e-02
2014 10 19  1210   56949  43800     7.54e-07    3.67e-06    1.70e-01
2014 10 19  1215   56949  44100     8.34e-07    5.36e-06    1.54e-01
2014 10 19  1220   56949  44400     4.26e-07    4.40e-06    9.65e-02
2014 10 19  1225   56949  44700     2.39e-07    3.57e-06    6.62e-02
2014 10 19  1230   56949  45000     9.30e-08    2.51e-06    3.65e-02
2014 10 19  1235   56949  45300     4.25e-08    1.88e-06    2.25e-02
2014 10 19  1240   56949  45600     2.76e-08    1.56e-06    1.76e-02
2014 10 19  1245   56949  45900     2.02e-08    1.41e-06    1.42e-02
2014 10 19  1250   56949  46200     1.62e-08    1.29e-06    1.25e-02
2014 10 19  1255   56949  46500     2.40e-08    1.27e-06    1.85e-02
2014 10 19  1300   56949  46800     6.66e-08    1.53e-06    4.33e-02
2014 10 19  1305   56949  47100     3.66e-08    1.42e-06    2.56e-02
2014 10 19  1310   56949  47400     2.46e-08    1.30e-06    1.89e-02
2014 10 19  1315   56949  47700     2.16e-08    1.26e-06    1.71e-02
2014 10 19  1320   56949  48000     2.43e-08    1.32e-06    1.83e-02
2014 10 19  1325   56949  48300     1.40e-08    1.17e-06    1.19e-02
2014 10 19  1330   56949  48600     1.25e-08    1.13e-06    1.10e-02
2014 10 19  1335   56949  48900     2.10e-08    1.15e-06    1.81e-02
2014 10 19  1340   56949  49200     2.78e-08    1.19e-06    2.34e-02
2014 10 19  1345   56949  49500     3.85e-08    1.26e-06    3.06e-02
2014 10 19  1350   56949  49800     2.97e-08    1.22e-06    2.42e-02
2014 10 19  1355   56949  50100     2.10e-08    1.14e-06    1.84e-02
2014 10 19  1400   56949  50400     2.18e-08    1.13e-06    1.92e-02
2014 10 19  1405   56949  50700     2.87e-08    1.19e-06    2.40e-02
2014 10 19  1410   56949  51000     3.14e-08    1.25e-06    2.51e-02
2014 10 19  1415   56949  51300     3.17e-08    1.27e-06    2.49e-02
2014 10 19  1420   56949  51600     4.91e-08    1.41e-06    3.47e-02
2014 10 19  1425   56949  51900     8.68e-08    1.66e-06    5.19e-02
2014 10 19  1430   56949  52200     1.71e-07    2.13e-06    7.99e-02
2014 10 19  1435   56949  52500     1.84e-07    2.41e-06    7.61e-02
2014 10 19  1440   56949  52800     1.64e-07    2.50e-06    6.54e-02
2014 10 19  1445   56949  53100     1.37e-07    2.44e-06    5.63e-02
2014 10 19  1450   56949  53400     1.12e-07    2.33e-06    4.81e-02
2014 10 19  1455   56949  53700     9.12e-08    2.22e-06    4.10e-02
2014 10 19  1500   56949  54000     9.71e-08    2.20e-06    4.40e-02
2014 10 19  1505   56949  54300     8.85e-08    2.21e-06    3.99e-02
2014 10 19  1510   56949  54600     6.13e-08    2.05e-06    2.99e-02
2014 10 19  1515   56949  54900     4.27e-08    1.84e-06    2.31e-02
2014 10 19  1520   56949  55200     3.24e-08    1.68e-06    1.92e-02
2014 10 19  1525   56949  55500     2.73e-08    1.58e-06    1.73e-02
2014 10 19  1530   56949  55800     2.37e-08    1.51e-06    1.57e-02
2014 10 19  1535   56949  56100     2.58e-08    1.49e-06    1.72e-02
2014 10 19  1540   56949  56400     2.21e-08    1.46e-06    1.52e-02
